age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender,city_tier,shopping_preference,total_shopping_activity,online_activity_share,store_activity_share,income_group
56,221111.0,6.5,12,0.7,1,6,16,16,28551.0,144092.0,2,3,2,6,7,7,1,3,6,5,2,Other,Tier 3,Store,32,0.5,0.5,High
69,96029.0,8.2,13,2.7,6,9,14,1,124056.0,28421.0,4,7,4,1,3,4,9,6,8,1,7,Male,Tier 3,Hybrid,15,0.9333333333333333,0.06666666666666667,Lower-Middle
46,19055.0,6.4,4,2.1,10,8,2,0,81939.0,128229.0,9,4,5,3,4,10,1,1,3,3,3,Female,Tier 3,Store,2,1.0,0.0,Low
32,53170.0,6.4,11,0.7,2,10,20,3,35901.0,134650.0,7,0,3,3,10,2,4,8,2,6,6,Female,Tier 1,Store,23,0.8695652173913043,0.13043478260869565,Low
60,244016.0,6.0,5,0.7,2,5,18,16,131971.0,34122.0,5,9,2,4,2,5,8,9,7,1,6,Male,Tier 3,Store,34,0.5294117647058824,0.47058823529411764,High
25,114976.0,7.6,6,4.0,1,7,31,6,92423.0,123383.0,2,8,3,5,10,6,6,3,4,4,8,Other,Tier 2,Store,37,0.8378378378378378,0.16216216216216217,Lower-Middle
78,43251.0,4.9,6,3.2,1,8,10,4,26398.0,18035.0,9,5,5,5,2,8,9,4,9,9,8,Other,Tier 2,Hybrid,14,0.7142857142857143,0.2857142857142857,Low
38,150604.0,3.1,10,3.7,4,9,17,7,131561.0,33308.0,2,1,2,10,10,8,8,9,6,1,4,Other,Tier 2,Store,24,0.7083333333333334,0.2916666666666667,Upper-Middle
56,150996.0,7.3,2,1.1,5,3,28,0,123438.0,97145.0,7,6,4,5,2,9,8,2,6,6,4,Female,Tier 3,Store,28,1.0,0.0,Upper-Middle
75,63037.0,6.8,4,2.9,4,8,2,9,74311.0,79808.0,10,0,2,2,9,6,9,1,5,1,7,Female,Tier 3,Store,11,0.18181818181818182,0.8181818181818182,Low
36,224154.0,8.6,12,5.4,6,3,49,3,56198.0,140722.0,9,0,7,10,10,9,9,10,8,10,5,Male,Tier 3,Store,52,0.9423076923076923,0.057692307692307696,High
40,107115.0,1.4,9,2.2,8,1,3,13,40543.0,46725.0,4,8,6,9,6,3,8,2,7,2,5,Female,Tier 3,Store,16,0.1875,0.8125,Lower-Middle
28,217693.0,5.8,7,2.6,2,4,27,8,83429.0,122126.0,9,2,7,9,3,7,10,1,7,6,5,Other,Tier 2,Store,35,0.7714285714285715,0.22857142857142856,High
28,92926.0,6.2,9,2.5,1,7,8,16,81177.0,19617.0,8,7,6,4,10,6,9,3,1,5,8,Male,Tier 2,Store,24,0.3333333333333333,0.6666666666666666,Lower-Middle
41,224888.0,3.0,6,2.4,2,9,37,13,49294.0,103713.0,7,4,3,3,1,2,10,7,5,5,1,Male,Tier 2,Store,50,0.74,0.26,High
70,235726.0,5.8,11,1.5,10,10,6,18,73565.0,139218.0,8,1,6,6,1,1,9,10,8,4,10,Male,Tier 1,Store,24,0.25,0.75,High
53,85400.0,8.4,7,2.6,6,7,0,1,30148.0,58440.0,4,1,7,1,1,7,5,10,5,3,1,Other,Tier 2,Store,1,0.0,1.0,Lower-Middle
57,114525.0,10.2,9,4.6,4,10,34,13,98395.0,98336.0,7,4,1,4,2,7,10,5,8,7,6,Female,Tier 1,Store,47,0.723404255319149,0.2765957446808511,Lower-Middle
41,116164.0,8.0,14,2.4,7,5,46,8,23909.0,42179.0,3,1,5,2,10,9,1,3,5,6,8,Female,Tier 2,Store,54,0.8518518518518519,0.14814814814814814,Lower-Middle
20,238457.0,5.4,12,4.1,2,1,33,4,68110.0,67109.0,5,2,6,9,6,7,1,10,4,9,9,Other,Tier 3,Store,37,0.8918918918918919,0.10810810810810811,High
39,239174.0,8.5,4,5.5,1,1,8,14,10025.0,127299.0,2,9,1,7,10,2,7,2,8,3,1,Male,Tier 3,Store,22,0.36363636363636365,0.6363636363636364,High
70,156774.0,7.8,9,1.4,5,9,25,5,38287.0,3848.0,8,8,5,9,9,4,7,10,6,9,2,Other,Tier 3,Online,30,0.8333333333333334,0.16666666666666666,Upper-Middle
19,121732.0,5.0,3,3.2,9,4,7,15,46394.0,22500.0,2,5,7,7,1,5,10,4,1,6,2,Female,Tier 2,Store,22,0.3181818181818182,0.6818181818181818,Lower-Middle
41,30385.0,4.8,14,1.0,6,3,18,10,119035.0,18547.0,7,8,1,2,10,8,2,4,6,4,3,Other,Tier 2,Store,28,0.6428571428571429,0.35714285714285715,Low
61,24336.0,5.7,12,2.3,6,5,25,8,44546.0,41489.0,8,6,2,2,10,6,4,2,2,3,8,Female,Tier 1,Store,33,0.7575757575757576,0.24242424242424243,Low
47,80421.0,3.9,14,5.5,1,7,45,11,10716.0,25969.0,6,0,2,8,4,6,4,10,8,2,3,Male,Tier 2,Store,56,0.8035714285714286,0.19642857142857142,Lower-Middle
55,177297.0,5.4,11,3.3,1,7,9,7,132880.0,135540.0,4,1,4,9,5,6,1,10,3,4,8,Other,Tier 1,Store,16,0.5625,0.4375,Upper-Middle
19,51021.0,7.0,12,2.9,4,5,42,16,66778.0,89620.0,4,8,2,6,10,6,7,3,1,8,6,Male,Tier 3,Store,58,0.7241379310344828,0.27586206896551724,Low
77,149854.0,8.1,14,1.0,2,8,29,11,31420.0,31294.0,6,2,6,3,6,4,1,8,9,6,4,Female,Tier 2,Store,40,0.725,0.275,Upper-Middle
38,234949.0,5.2,8,1.7,3,5,39,0,65173.0,45371.0,8,7,2,9,10,9,5,2,7,9,6,Other,Tier 3,Store,39,1.0,0.0,High
50,132369.0,8.8,3,1.4,6,10,35,7,10737.0,31314.0,9,6,6,7,1,9,4,4,6,8,9,Male,Tier 1,Online,42,0.8333333333333334,0.16666666666666666,Upper-Middle
29,235702.0,7.3,3,1.2,10,4,30,0,13603.0,52812.0,6,5,1,1,3,6,7,4,10,2,3,Female,Tier 1,Store,30,1.0,0.0,High
75,64111.0,7.4,3,3.6,1,6,7,12,48524.0,1819.04,3,9,5,9,10,9,1,8,9,2,2,Female,Tier 1,Online,19,0.3684210526315789,0.631578947368421,Low
39,104402.0,4.2,9,3.4,10,3,41,4,112987.0,126335.0,10,7,7,2,2,2,10,5,7,10,5,Female,Tier 2,Store,45,0.9111111111111111,0.08888888888888889,Lower-Middle
78,134774.0,9.6,10,2.3,2,4,46,19,82204.0,119167.0,4,7,2,5,4,9,10,10,3,8,6,Male,Tier 2,Store,65,0.7076923076923077,0.2923076923076923,Upper-Middle
61,230657.0,7.1,14,1.8,4,8,12,4,35393.0,74710.0,5,9,2,7,5,10,5,10,5,7,7,Other,Tier 2,Store,16,0.75,0.25,High
42,57719.0,5.3,3,3.4,6,10,36,7,30975.0,72627.0,3,7,3,10,8,8,2,1,3,6,7,Female,Tier 1,Store,43,0.8372093023255814,0.16279069767441862,Low
66,242600.0,5.0,6,4.7,3,10,29,10,108742.0,123073.0,5,0,1,3,9,9,6,2,6,10,3,Female,Tier 3,Store,39,0.7435897435897436,0.2564102564102564,High
44,195109.0,5.4,11,3.8,9,3,14,19,129743.0,128262.0,8,6,2,9,7,3,7,10,3,10,4,Female,Tier 2,Store,33,0.42424242424242425,0.5757575757575758,High
76,226175.0,4.0,14,2.6,10,10,34,7,7720.0,121589.0,4,7,7,3,6,10,5,9,7,5,6,Female,Tier 2,Store,41,0.8292682926829268,0.17073170731707318,High
59,140695.0,8.0,4,3.7,4,3,2,9,134176.0,148247.0,7,1,6,2,9,3,8,9,5,2,2,Other,Tier 1,Store,11,0.18181818181818182,0.8181818181818182,Upper-Middle
45,149585.0,4.2,14,3.8,7,6,28,4,28170.0,36288.0,1,3,6,10,8,10,10,7,7,4,8,Male,Tier 1,Store,32,0.875,0.125,Upper-Middle
77,159407.0,6.6,2,2.7,5,8,23,19,73135.0,125311.0,7,5,6,3,7,8,10,7,5,1,10,Other,Tier 3,Store,42,0.5476190476190477,0.4523809523809524,Upper-Middle
33,190212.0,5.1,12,2.7,6,10,44,2,9795.0,144291.0,1,3,2,10,7,5,9,9,3,1,6,Male,Tier 1,Store,46,0.9565217391304348,0.043478260869565216,Upper-Middle
32,119126.0,7.3,12,1.8,9,2,22,4,68655.0,62518.0,2,1,4,6,9,7,6,7,5,5,9,Female,Tier 2,Store,26,0.8461538461538461,0.15384615384615385,Lower-Middle
79,226445.0,7.6,3,3.6,9,1,8,14,114331.0,37757.0,1,1,3,1,1,5,1,2,1,8,5,Other,Tier 1,Store,22,0.36363636363636365,0.6363636363636364,High
79,92658.0,4.7,5,2.3,6,10,1,13,13016.0,22135.0,3,1,5,4,7,8,7,7,1,6,5,Other,Tier 3,Store,14,0.07142857142857142,0.9285714285714286,Lower-Middle
64,180912.0,5.9,10,1.2,2,1,14,4,31116.0,55921.0,8,1,1,4,6,10,1,4,2,3,8,Other,Tier 3,Store,18,0.7777777777777778,0.2222222222222222,Upper-Middle
79,46007.0,3.1,4,1.3,9,7,31,1,126467.0,56756.0,8,6,5,5,2,10,2,7,1,1,7,Female,Tier 1,Store,32,0.96875,0.03125,Low
68,203019.0,9.4,5,2.4,2,2,17,6,126412.0,15024.0,7,8,2,10,7,10,3,6,7,3,7,Female,Tier 2,Hybrid,23,0.7391304347826086,0.2608695652173913,High
61,121833.0,8.1,13,1.3,2,9,28,6,139574.0,106040.0,7,9,7,2,2,8,7,9,2,8,6,Male,Tier 2,Store,34,0.8235294117647058,0.17647058823529413,Lower-Middle
72,133637.0,3.2,12,5.5,2,10,39,13,74782.0,66488.0,5,8,4,1,2,1,1,4,4,1,7,Other,Tier 1,Store,52,0.75,0.25,Upper-Middle
